配置,模型,相对重启轮次,相对重启时最优 gap 的变化（百分点）,有观测实例数,有观测求解次数,重启事件数
关闭下界保护与历史路径强化,第二个 GP 表达式,-25,0.0,32,160,1777
关闭下界保护与历史路径强化,第二个 GP 表达式,0,0.0,32,160,1777
关闭下界保护与历史路径强化,第二个 GP 表达式,25,0.0,32,160,1749
关闭下界保护与历史路径强化,第二个 GP 表达式,50,-0.0002603653949992517,32,160,1749
关闭下界保护与历史路径强化,第二个 GP 表达式,100,-0.012875871957197834,32,160,1749
关闭下界保护与历史路径强化,第二个 GP 表达式,500,-0.03990114890882988,32,160,1600
关闭下界保护与历史路径强化,第三个 GP 表达式,-100,0.0,32,160,1599
关闭下界保护与历史路径强化,第三个 GP 表达式,-50,0.0,32,160,1599
关闭下界保护与历史路径强化,第三个 GP 表达式,-25,0.0,32,160,1599
关闭下界保护与历史路径强化,第三个 GP 表达式,0,0.0,32,160,1599
关闭下界保护与历史路径强化,第三个 GP 表达式,25,0.0,32,160,1563
关闭下界保护与历史路径强化,第三个 GP 表达式,50,-2.5282919124150737e-05,32,160,1563
关闭下界保护与历史路径强化,第三个 GP 表达式,100,-0.003096385401017211,32,160,1563
关闭下界保护与历史路径强化,第三个 GP 表达式,500,-0.03334060443973853,32,160,1430
