配置,模型,指标,均值
仅关闭历史路径强化,第一个 GP 表达式,每百轮重启次数,0.123375
仅关闭历史路径强化,第一个 GP 表达式,每轮硬上界裁剪次数,0.0
仅关闭历史路径强化,第二个 GP 表达式,实际强化路径的平均 gap（%）,0.8761880244920016
仅关闭历史路径强化,第二个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.0
仅关闭历史路径强化,第二个 GP 表达式,强化路径年龄（轮）,0.0
仅关闭历史路径强化,第二个 GP 表达式,用于历史来源的预算比例,0.0
仅关闭历史路径强化,第二个 GP 表达式,构造路径平均 gap（%）,6.2468982854600315
仅关闭历史路径强化,第二个 GP 表达式,2-opt 后路径平均 gap（%）,1.4100271149595178
仅关闭历史路径强化,第二个 GP 表达式,构造路径最优 gap（%）,2.787258722610537
仅关闭历史路径强化,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,0.8761880244920016
仅关闭历史路径强化,第二个 GP 表达式,构造路径较优七条平均 gap（%）,3.2342562062855142
仅关闭历史路径强化,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,0.9762682827827518
仅关闭历史路径强化,第二个 GP 表达式,同轮同来源内更新树输出的标准差,0.10679267909214789
仅关闭历史路径强化,第二个 GP 表达式,更新树输出饱和比例,0.94522775
仅关闭历史路径强化,第二个 GP 表达式,2-opt 平均改进（百分点）,4.836871281574091
仅关闭历史路径强化,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,0.963260097421875
仅关闭历史路径强化,第二个 GP 表达式,每百轮改进全局最优的次数,0.946
仅关闭历史路径强化,第二个 GP 表达式,信息素下界触发比例,0.8498021704999998
仅关闭历史路径强化,第二个 GP 表达式,每百轮重启次数,0.134125
仅关闭历史路径强化,第二个 GP 表达式,每轮硬上界裁剪次数,0.0
仅关闭历史路径强化,第三个 GP 表达式,实际强化路径的平均 gap（%）,1.0543182091573198
仅关闭历史路径强化,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.0
仅关闭历史路径强化,第三个 GP 表达式,强化路径年龄（轮）,0.0
仅关闭历史路径强化,第三个 GP 表达式,用于历史来源的预算比例,0.0
仅关闭历史路径强化,第三个 GP 表达式,构造路径平均 gap（%）,9.16489377767844
仅关闭历史路径强化,第三个 GP 表达式,2-opt 后路径平均 gap（%）,1.8846142230260252
仅关闭历史路径强化,第三个 GP 表达式,构造路径最优 gap（%）,3.995974066894248
仅关闭历史路径强化,第三个 GP 表达式,2-opt 后本轮最优 gap（%）,1.0543182091573198
仅关闭历史路径强化,第三个 GP 表达式,构造路径较优七条平均 gap（%）,4.744591772084647
仅关闭历史路径强化,第三个 GP 表达式,2-opt 后较优七条平均 gap（%）,1.2096359776343448
仅关闭历史路径强化,第三个 GP 表达式,同轮同来源内更新树输出的标准差,0.16297427024290045
仅关闭历史路径强化,第三个 GP 表达式,更新树输出饱和比例,0.019551355000000003
仅关闭历史路径强化,第三个 GP 表达式,2-opt 平均改进（百分点）,7.280279429625627
仅关闭历史路径强化,第三个 GP 表达式,同一路径经 2-opt 后的边保留率,0.9445416514843751
仅关闭历史路径强化,第三个 GP 表达式,每百轮改进全局最优的次数,0.949125
仅关闭历史路径强化,第三个 GP 表达式,信息素下界触发比例,0.84664753975
仅关闭历史路径强化,第三个 GP 表达式,每百轮重启次数,0.120875
仅关闭历史路径强化,第三个 GP 表达式,每轮硬上界裁剪次数,0.0
仅关闭历史路径强化,三个 GP 表达式均值,实际强化路径的平均 gap（%）,0.9833998052930354
仅关闭历史路径强化,三个 GP 表达式均值,强化路径优于本轮最优路径的幅度（百分点）,0.0
仅关闭历史路径强化,三个 GP 表达式均值,强化路径年龄（轮）,0.0
仅关闭历史路径强化,三个 GP 表达式均值,用于历史来源的预算比例,0.0
仅关闭历史路径强化,三个 GP 表达式均值,构造路径平均 gap（%）,8.109584477036691
仅关闭历史路径强化,三个 GP 表达式均值,2-opt 后路径平均 gap（%）,1.7060099073933896
仅关闭历史路径强化,三个 GP 表达式均值,构造路径最优 gap（%）,3.5243043025787886
仅关闭历史路径强化,三个 GP 表达式均值,2-opt 后本轮最优 gap（%）,0.9833998052930354
仅关闭历史路径强化,三个 GP 表达式均值,构造路径较优七条平均 gap（%）,4.157412405084672
仅关闭历史路径强化,三个 GP 表达式均值,2-opt 后较优七条平均 gap（%）,1.1163892236599098
仅关闭历史路径强化,三个 GP 表达式均值,同轮同来源内更新树输出的标准差,0.1430207759318043
仅关闭历史路径强化,三个 GP 表达式均值,更新树输出饱和比例,0.38677731500000007
