replicate,champion,instance,state_owner,snapshot_iteration,source,phase,deposit_l1_over_budget,source_edge_tau_l1_over_two_budget,global_tau_relative_l1
0,81003,5,不使用 GP 产生的状态,1,历史全局最优路径,蒸发和下界保护后,0.2201083245053929,0.0,0.0
0,81003,5,不使用 GP 产生的状态,1,历史全局最优路径,沉积后,0.2201083245053929,0.22010833086236523,0.0001723763826263845
0,81003,5,不使用 GP 产生的状态,1,历史全局最优路径,重启和可选上界处理后,0.2201083245053929,0.22010833086236523,0.0001723763826263845
0,81003,6,不使用 GP 产生的状态,1,历史全局最优路径,更新前,0.22808039434355565,0.0,0.0
0,81003,6,不使用 GP 产生的状态,1,历史全局最优路径,蒸发和下界保护后,0.22808039434355565,0.0,0.0
0,81003,6,不使用 GP 产生的状态,1,历史全局最优路径,沉积后,0.22808039434355565,0.22808036791049652,0.0001822272976131675
0,81003,6,不使用 GP 产生的状态,1,历史全局最优路径,重启和可选上界处理后,0.22808039434355565,0.22808036791049652,0.0001822272976131675
0,81003,7,不使用 GP 产生的状态,1,历史全局最优路径,更新前,0.22202642814609302,0.0,0.0
0,81003,7,不使用 GP 产生的状态,1,历史全局最优路径,蒸发和下界保护后,0.22202642814609302,0.0,0.0
0,81003,7,不使用 GP 产生的状态,1,历史全局最优路径,沉积后,0.22202642814609302,0.22202645632837012,0.0001791163751719457
0,81003,7,不使用 GP 产生的状态,1,历史全局最优路径,重启和可选上界处理后,0.22202642814609302,0.22202645632837012,0.0001791163751719457
0,81001,0,不使用 GP 产生的状态,1,本轮最优路径,更新前,0.24172419707814582,0.0,0.0
0,81001,0,不使用 GP 产生的状态,1,本轮最优路径,蒸发和下界保护后,0.24172419707814582,0.0,0.0
0,81001,0,不使用 GP 产生的状态,1,本轮最优路径,沉积后,0.24172419707814582,0.24172429369914372,0.00019777870987350003
0,81001,0,不使用 GP 产生的状态,1,本轮最优路径,重启和可选上界处理后,0.24172419707814582,0.24172429369914372,0.00019777870987350003
0,81001,1,不使用 GP 产生的状态,1,本轮最优路径,更新前,0.25146969598202706,0.0,0.0
0,81001,1,不使用 GP 产生的状态,1,本轮最优路径,蒸发和下界保护后,0.25146969598202706,0.0,0.0
0,81001,1,不使用 GP 产生的状态,1,本轮最优路径,沉积后,0.25146969598202706,0.2514697661426839,0.00020467796122570627
