state_owner,snapshot_iteration,source,phase,instance,deposit_l1_over_budget,source_edge_tau_l1_over_two_budget,global_tau_relative_l1
GP 表达式自身产生的状态,100,本轮最优路径,重启和可选上界处理后,4,0.021174020109466462,0.021174033796696308,1.8587403675093125e-05
GP 表达式自身产生的状态,100,本轮最优路径,重启和可选上界处理后,5,0.052701229592628594,0.05270121541422802,4.537091177113716e-05
GP 表达式自身产生的状态,100,本轮最优路径,重启和可选上界处理后,6,0.024801597594891176,0.024801589614517994,2.173529176804701e-05
GP 表达式自身产生的状态,100,本轮最优路径,重启和可选上界处理后,7,0.07202988948168318,0.07202990139037507,6.230488586160338e-05
GP 表达式自身产生的状态,250,历史全局最优路径,更新前,0,0.004668308341525974,0.0,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,更新前,1,0.0020681107065492112,0.0,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,更新前,2,0.0015237624197591132,0.0,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,更新前,3,0.00637560323362313,0.0,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,更新前,4,0.0026642976577310497,0.0,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,更新前,5,0.0019997576212289667,0.0,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,更新前,6,0.002163346796861881,0.0,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,更新前,7,0.0037563183107713646,0.0,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,沉积后,0,0.004668308341525974,0.004668314200528929,4.1295334952962075e-06
GP 表达式自身产生的状态,250,历史全局最优路径,沉积后,1,0.0020681107065492112,0.0020680953921031345,1.8291213685145285e-06
GP 表达式自身产生的状态,250,历史全局最优路径,沉积后,2,0.0015237624197591132,0.0015237797481397856,1.369786512417472e-06
GP 表达式自身产生的状态,250,历史全局最优路径,沉积后,3,0.00637560323362313,0.006375606460109663,5.6620547958441225e-06
GP 表达式自身产生的状态,250,历史全局最优路径,沉积后,4,0.0026642976577310497,0.002664300381045712,2.3566908384468554e-06
GP 表达式自身产生的状态,250,历史全局最优路径,沉积后,5,0.0019997576212289667,0.0019997522891286304,1.7808436217786167e-06
GP 表达式自身产生的状态,250,历史全局最优路径,沉积后,6,0.002163346796861881,0.0021633417915420156,1.9085711475837424e-06
GP 表达式自身产生的状态,250,历史全局最优路径,沉积后,7,0.0037563183107713646,0.0037563112092742846,3.3211141986105794e-06
GP 表达式自身产生的状态,250,历史全局最优路径,蒸发和下界保护后,0,0.004668308341525974,0.0,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,蒸发和下界保护后,1,0.0020681107065492112,0.0,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,蒸发和下界保护后,2,0.0015237624197591132,0.0,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,蒸发和下界保护后,3,0.00637560323362313,0.0,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,蒸发和下界保护后,4,0.0026642976577310497,0.0,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,蒸发和下界保护后,5,0.0019997576212289667,0.0,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,蒸发和下界保护后,6,0.002163346796861881,0.0,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,蒸发和下界保护后,7,0.0037563183107713646,0.0,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,重启和可选上界处理后,0,0.004668308341525974,0.004668314200528929,4.1295334952962075e-06
GP 表达式自身产生的状态,250,历史全局最优路径,重启和可选上界处理后,1,0.0020681107065492112,0.0020680953921031345,1.8291213685145285e-06
GP 表达式自身产生的状态,250,历史全局最优路径,重启和可选上界处理后,2,0.0015237624197591132,0.0015237797481397856,1.369786512417472e-06
GP 表达式自身产生的状态,250,历史全局最优路径,重启和可选上界处理后,3,0.00637560323362313,0.006375606460109663,5.6620547958441225e-06
GP 表达式自身产生的状态,250,历史全局最优路径,重启和可选上界处理后,4,0.0026642976577310497,0.002664300381045712,2.3566908384468554e-06
GP 表达式自身产生的状态,250,历史全局最优路径,重启和可选上界处理后,5,0.0019997576212289667,0.0019997522891286304,1.7808436217786167e-06
GP 表达式自身产生的状态,250,历史全局最优路径,重启和可选上界处理后,6,0.002163346796861881,0.0021633417915420156,1.9085711475837424e-06
GP 表达式自身产生的状态,250,历史全局最优路径,重启和可选上界处理后,7,0.0037563183107713646,0.0037563112092742846,3.3211141986105794e-06
GP 表达式自身产生的状态,250,历史重启阶段最优路径,更新前,0,0.004668308341525974,0.0,0.0
GP 表达式自身产生的状态,250,历史重启阶段最优路径,更新前,1,0.0020681107065492112,0.0,0.0
GP 表达式自身产生的状态,250,历史重启阶段最优路径,更新前,2,0.0015237624197591132,0.0,0.0
GP 表达式自身产生的状态,250,历史重启阶段最优路径,更新前,3,0.00637560323362313,0.0,0.0
GP 表达式自身产生的状态,250,历史重启阶段最优路径,更新前,4,0.0026642976577310497,0.0,0.0
GP 表达式自身产生的状态,250,历史重启阶段最优路径,更新前,5,0.0019997576212289667,0.0,0.0
GP 表达式自身产生的状态,250,历史重启阶段最优路径,更新前,6,0.002163346796861881,0.0,0.0
GP 表达式自身产生的状态,250,历史重启阶段最优路径,更新前,7,0.0037563183107713646,0.0,0.0
GP 表达式自身产生的状态,250,历史重启阶段最优路径,沉积后,0,0.004668308341525974,0.004668314200528929,4.1295334952962075e-06
GP 表达式自身产生的状态,250,历史重启阶段最优路径,沉积后,1,0.0020681107065492112,0.0020680953921031345,1.8291213685145285e-06
