state_owner,snapshot_iteration,historical_source,update_rule,instance,affected_probability_tv,unaffected_probability_tv
GP 表达式自身产生的状态,1000,历史全局最优路径,来源内均匀沉积,6,0.027648485031741443,1.5031857239857238e-10
GP 表达式自身产生的状态,1000,历史全局最优路径,来源内均匀沉积,7,0.10168696812600259,0.0
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,GP 源内重加权,0,nan,2.4111544552319054e-08
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,GP 源内重加权,1,nan,1.5153372395911976e-09
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,GP 源内重加权,2,nan,1.0824628416618996e-09
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,GP 源内重加权,3,nan,3.5803243363715255e-07
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,GP 源内重加权,4,0.0885737210494859,7.83934955192221e-08
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,GP 源内重加权,5,nan,9.361015944198015e-10
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,GP 源内重加权,6,nan,3.3686975286159195e-06
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,GP 源内重加权,7,0.07119536175918968,7.677354529717634e-06
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,来源内均匀沉积,0,nan,3.2267586588576744e-10
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,来源内均匀沉积,1,nan,1.7247483511225242e-10
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,来源内均匀沉积,2,nan,0.0
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,来源内均匀沉积,3,nan,2.7352174346046677e-10
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,来源内均匀沉积,4,0.14452891971117013,1.8228632667587298e-10
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,来源内均匀沉积,5,nan,0.0
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,来源内均匀沉积,6,nan,0.0
GP 表达式自身产生的状态,1000,历史重启阶段最优路径,来源内均匀沉积,7,0.09758417063369847,0.0
GP 表达式自身产生的状态,2500,历史全局最优路径,GP 源内重加权,0,0.03829380424023861,5.005929845552479e-06
GP 表达式自身产生的状态,2500,历史全局最优路径,GP 源内重加权,1,0.05679225040919316,4.091483236711786e-06
GP 表达式自身产生的状态,2500,历史全局最优路径,GP 源内重加权,2,0.03006899298345469,4.195089679841345e-05
GP 表达式自身产生的状态,2500,历史全局最优路径,GP 源内重加权,3,0.07323525429340458,1.6586211643681354e-05
GP 表达式自身产生的状态,2500,历史全局最优路径,GP 源内重加权,4,0.04847701863662692,6.3933108055674125e-06
GP 表达式自身产生的状态,2500,历史全局最优路径,GP 源内重加权,5,0.06504426201245067,1.947851187177381e-05
GP 表达式自身产生的状态,2500,历史全局最优路径,GP 源内重加权,6,0.03276363075797926,2.708066689495246e-05
GP 表达式自身产生的状态,2500,历史全局最优路径,GP 源内重加权,7,0.09635851821937232,2.405923614666286e-05
GP 表达式自身产生的状态,2500,历史全局最优路径,来源内均匀沉积,0,0.05414807459268659,6.468212857411603e-12
GP 表达式自身产生的状态,2500,历史全局最优路径,来源内均匀沉积,1,0.09829868888852414,1.1285257877923039e-10
GP 表达式自身产生的状态,2500,历史全局最优路径,来源内均匀沉积,2,0.0564497298234668,2.1016263221389468e-10
GP 表达式自身产生的状态,2500,历史全局最优路径,来源内均匀沉积,3,0.11157030312989855,7.135874659157374e-13
GP 表达式自身产生的状态,2500,历史全局最优路径,来源内均匀沉积,4,0.07834560241882074,4.348960310748915e-10
GP 表达式自身产生的状态,2500,历史全局最优路径,来源内均匀沉积,5,0.09974079584261153,8.931009444161781e-10
GP 表达式自身产生的状态,2500,历史全局最优路径,来源内均匀沉积,6,0.04241143477207854,0.0
GP 表达式自身产生的状态,2500,历史全局最优路径,来源内均匀沉积,7,0.13869581056109115,6.282409015623059e-11
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,GP 源内重加权,0,nan,4.6939945518578e-10
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,GP 源内重加权,1,nan,1.8957972673329267e-07
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,GP 源内重加权,2,0.044217900445752516,1.143135643161117e-06
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,GP 源内重加权,3,0.07250026914161611,1.5535376113735762e-07
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,GP 源内重加权,4,nan,5.172368934533526e-06
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,GP 源内重加权,5,0.0005437314713607192,1.3136245665322785e-05
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,GP 源内重加权,6,nan,5.934853218408567e-07
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,GP 源内重加权,7,0.09860125332706145,4.691172431151925e-06
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,来源内均匀沉积,0,nan,0.0
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,来源内均匀沉积,1,nan,1.0643637363878302e-10
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,来源内均匀沉积,2,0.04326075159307324,0.0
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,来源内均匀沉积,3,0.07918965927143136,5.232974750048741e-13
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,来源内均匀沉积,4,nan,0.0
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,来源内均匀沉积,5,0.000536045694715399,0.0
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,来源内均匀沉积,6,nan,0.0
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,来源内均匀沉积,7,0.11145660544517418,9.893786643643023e-13
不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,0,nan,0.0
不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,1,nan,0.0
不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,2,nan,0.0
不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,3,nan,0.0
不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,4,nan,0.0
不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,5,nan,0.0
不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,6,nan,0.0
不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,7,nan,0.0
不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,0,nan,0.0
不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,1,nan,0.0
不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,2,nan,0.0
不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,3,nan,0.0
不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,4,nan,0.0
不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,5,nan,0.0
不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,6,nan,0.0
不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,7,nan,0.0
不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,nan,0.0
不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,1,nan,0.0
不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,2,nan,0.0
不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,3,nan,0.0
不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,4,nan,0.0
不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,5,nan,0.0
不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,6,nan,0.0
不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,7,nan,0.0
不使用 GP 产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,0,nan,0.0
不使用 GP 产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,1,nan,0.0
不使用 GP 产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,2,nan,0.0
不使用 GP 产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,3,nan,0.0
不使用 GP 产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,4,nan,0.0
不使用 GP 产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,5,nan,0.0
不使用 GP 产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,6,nan,0.0
不使用 GP 产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,7,nan,0.0
不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,0,0.07503353962863336,0.00017721899827897244
不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,1,0.07538249000996397,0.0003318980264632542
不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,2,0.09679686829859666,0.0003058626817358896
不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,3,0.036078983625212224,0.0005085737245503289
不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,4,0.05747960807192828,7.834421664437245e-05
不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,5,0.07343123331175275,0.00029672702133247273
