replicate,program,instance,behavior,iteration,source_kind,source_current_overlap,source_lift_0,source_lift_1,source_lift_2,source_lift_3,post_unique_tours
0,0,3,不使用 GP,25,1,0.74,7.298827587299052,7.298826608496101,7.826692762439412,7.826692762439412,32
0,1,3,三个固定 GP 表达式的均值,25,1,0.784,8.184519643258861,8.190238083295814,8.54614117797404,8.54614117797404,32
0,0,4,不使用 GP,25,1,0.75,7.4954489337123436,7.516464598587702,8.006986553218658,8.006986553218658,32
0,1,4,三个固定 GP 表达式的均值,25,1,0.746,7.970651220639427,7.977577394297915,8.37382910366338,8.37382910366338,32
0,0,5,不使用 GP,25,1,0.714,7.175723472431256,7.188332751539107,7.738987433546257,7.738987433546257,32
0,1,5,三个固定 GP 表达式的均值,25,1,0.75,8.012785842585014,8.012785757524368,8.399019097008638,8.399019097008638,32
0,0,6,不使用 GP,25,1,0.734,7.322573492296466,7.322573590625123,7.8452242985425835,7.8452242985425835,32
0,1,6,三个固定 GP 表达式的均值,25,1,0.766,8.189941610097744,8.195200220664923,8.548933567199393,8.548933567199393,32
0,0,7,不使用 GP,25,1,0.74,7.463937463558565,7.485859264628621,7.980376220682329,7.980376220682329,32
0,1,7,三个固定 GP 表达式的均值,25,1,0.762,7.989274721862243,8.00370267183513,8.396275695216834,8.396275695216834,32
0,2,0,三个固定 GP 表达式的均值,50,1,0.868,8.960448087158895,8.942371999062551,9.152919460834163,9.152919460834163,32
0,3,0,三个固定 GP 表达式的均值,50,1,0.804,8.658287215013795,8.640929818183487,8.912196654637286,8.912196654637286,32
0,2,1,三个固定 GP 表达式的均值,50,1,0.848,8.983568200713025,8.972046171748563,9.1808316331293,9.1808316331293,32
0,3,1,三个固定 GP 表达式的均值,50,1,0.814,8.852377608615537,8.834759172190402,9.06675793783206,9.06675793783206,32
0,3,2,三个固定 GP 表达式的均值,50,1,0.844,8.818322033345792,8.80091860131825,9.040090488454968,9.040090488454968,32
0,3,3,三个固定 GP 表达式的均值,50,1,0.814,8.567711966758846,8.561020192201905,8.849465423317872,8.849465423317872,32
0,2,4,三个固定 GP 表达式的均值,50,1,0.948,9.5750868687678,9.554980376756875,9.643699855002184,9.643699855002184,32
0,2,5,三个固定 GP 表达式的均值,50,1,0.856,8.94926381295048,8.937479081368831,9.150870887704125,9.150870887704125,32
0,3,5,三个固定 GP 表达式的均值,50,1,0.876,8.768287941350897,8.750832264506892,9.000876112692776,9.000876112692776,32
0,2,6,三个固定 GP 表达式的均值,50,1,0.844,9.057660280800295,9.0392784048911,9.234085624105475,9.234085624105475,32
0,2,7,三个固定 GP 表达式的均值,50,1,0.852,9.095264699781353,9.097923625043487,9.279341772044214,9.279341772044214,32
0,3,7,三个固定 GP 表达式的均值,50,1,0.804,8.596809243676965,8.5798502324642,8.864935134736292,8.864935134736292,32
0,0,0,不使用 GP,50,1,0.79,8.053930463544626,8.038046737616744,8.429866637662123,8.429866637662123,32
0,1,0,三个固定 GP 表达式的均值,50,1,0.822,8.84263592249892,8.831971098798466,9.065993867006144,9.065993867006144,32
0,0,1,不使用 GP,50,1,0.796,8.034369890121917,8.026549283661295,8.421506808375486,8.421506808375486,32
0,1,1,三个固定 GP 表达式的均值,50,1,0.868,9.005561999274853,8.987390391625743,9.189700587174231,9.189700587174231,32
0,0,2,不使用 GP,50,1,0.836,8.292668565980147,8.276280787843989,8.620528307974945,8.620528307974945,32
0,1,2,三个固定 GP 表达式的均值,50,1,0.85,8.965784302031658,8.947879341234087,9.157554603530025,9.157554603530025,32
0,0,3,不使用 GP,50,1,0.778,7.962137888769079,7.946592102284926,8.356631073484026,8.356631073484026,32
0,1,3,三个固定 GP 表达式的均值,50,1,0.816,8.944082064898137,8.935270960730042,9.149483585192177,9.149483585192177,32
0,0,4,不使用 GP,50,1,0.816,8.2396247015208,8.223335362880327,8.577905551127976,8.577905551127976,32
