regime,regime_key,behavior,behavior_key,iteration,candidate_entropy,candidate_effective_arcs,candidate_gini,top500_mass,top2500_mass,floor_fraction,source_edge_lift,current_best_edge_lift,global_best_edge_lift,reference_edge_lift,top500_persistence,source_kind,source_age,source_current_overlap
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,250,7.542613858392922,1886.7552965447587,0.8565263713294404,0.2420107212872587,0.9765283403009685,0.5827,6.911071383333972,6.911071383333972,7.031666259075976,7.176845647633611,0.9011406844106464,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,275,7.545284316031357,1891.800530181351,0.8562077527721457,0.20272491893158884,0.9765334284797529,0.5815,6.900161173245621,6.900161173245621,6.979817482142172,7.152134980018794,0.8867924528301887,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,300,7.541450059553169,1884.5607701610645,0.8567004688896684,0.24336627769004512,0.977370117377719,0.5866,7.035064168248546,7.035064168248546,7.150978927915179,7.168083654496328,0.9011406844106464,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,325,7.541520726491128,1884.6939510057755,0.8566839321005009,0.22717481096783074,0.9770700837287434,0.5866,6.91883759251366,6.91883759251366,7.144280059187499,7.180816245726048,0.9455252918287937,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,350,7.5484328161001475,1897.766250888585,0.8558193547113349,0.24202160761737043,0.976209285788111,0.5816,6.914371502447479,6.914371502447479,7.127719709294723,7.162442282493881,0.9083969465648855,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,375,7.542561793778228,1886.6570659144138,0.8565432377804736,0.3321507721372439,0.9767961874924445,0.5847,7.0965853060348945,7.0965853060348945,7.149958873816153,7.176543675651426,0.9305019305019305,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,400,7.540445051956111,1882.667723692314,0.8567618674186381,0.24309582537967941,0.9770524121758571,0.5829,6.878850780854617,6.878850780854617,7.171317970085032,7.202246664187819,0.9305019305019305,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,425,7.543564103761714,1888.5490291354133,0.856440190168021,0.20478378880696205,0.9768745137721738,0.5862,7.0936927707305175,7.0936927707305175,7.13256236977891,7.17812387888039,0.9230769230769231,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,450,7.541729312250378,1885.0871123270003,0.8566496485695849,0.30662700419290384,0.9766335141667873,0.5842,6.867765076838053,6.867765076838053,7.168908485091252,7.183074561149809,0.9157088122605364,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,475,7.540367351716473,1882.5214456420179,0.8567946569896425,0.20485547924092448,0.9772058407270797,0.5859,6.916448654393779,6.916448654393779,7.160897864591923,7.181725329246315,0.9083969465648855,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,500,7.540530429222354,1882.8284675776467,0.8567591110994575,0.4227954188192359,0.9765030641820565,0.5844,6.949568773494647,6.949568773494647,7.158228612142145,7.188713339249082,0.8939393939393939,0,0.0,1.0
强化本轮全部 32 条路径,all_current_paths,不使用 GP,baseline,525,7.5398724541317055,1881.5900208242542,0.8568700264152389,0.21698056567320612,0.977209691033092,0.5881,6.981455795291119,6.981455795291119,7.167204986714307,7.1943300116104085,0.8796992481203008,0,0.0,1.0
