state_owner,snapshot_iteration,continuation_iterations,metric,mean,point_low,point_high,instances
不使用 GP 产生的状态,250,500,仅信息素更新树的增益（百分点）,0.013464116263382939,-0.020569149277448028,0.05820348569491195,8
不使用 GP 产生的状态,500,1,原生来源下 GP 增益（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,500,1,仅本轮最优来源下 GP 增益（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,500,1,移除历史来源后 GP 增益变化（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,500,1,仅构造决策树的增益（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,500,1,仅信息素更新树的增益（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,500,25,原生来源下 GP 增益（百分点）,-0.000592399510427086,-0.0014213168372948872,0.0,8
不使用 GP 产生的状态,500,25,仅本轮最优来源下 GP 增益（百分点）,-0.0005927261924936694,-0.0014222968834946372,0.0,8
不使用 GP 产生的状态,500,25,移除历史来源后 GP 增益变化（百分点）,-3.266820665833355e-07,-9.800461997500065e-07,0.0,8
不使用 GP 产生的状态,500,25,仅构造决策树的增益（百分点）,-0.000592399510427086,-0.0014213168372948872,0.0,8
不使用 GP 产生的状态,500,25,仅信息素更新树的增益（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,500,100,原生来源下 GP 增益（百分点）,0.0021222929247058687,-0.0013977889419813927,0.0062481366545091835,8
不使用 GP 产生的状态,500,100,仅本轮最优来源下 GP 增益（百分点）,-0.00580676077212726,-0.015759339419114483,0.0030069996240167374,8
不使用 GP 产生的状态,500,100,移除历史来源后 GP 增益变化（百分点）,-0.007929053696833128,-0.016275926996440572,-0.0015576808676272722,8
不使用 GP 产生的状态,500,100,仅构造决策树的增益（百分点）,-8.74239955949647e-05,-0.00336259983810816,0.003964474391166292,8
不使用 GP 产生的状态,500,100,仅信息素更新树的增益（百分点）,0.0031302430175905727,0.0,0.009390729052771718,8
不使用 GP 产生的状态,500,500,原生来源下 GP 增益（百分点）,0.003970802173099605,-0.02358482665716589,0.03073517910735312,8
不使用 GP 产生的状态,500,500,仅本轮最优来源下 GP 增益（百分点）,0.013809909950773495,-0.017389757053866174,0.04813688169955626,8
不使用 GP 产生的状态,500,500,移除历史来源后 GP 增益变化（百分点）,0.00983910777767389,-0.030744846845158956,0.05565178297541144,8
不使用 GP 产生的状态,500,500,仅构造决策树的增益（百分点）,-0.00484104849142988,-0.0172777818009518,0.006826965921724341,8
不使用 GP 产生的状态,500,500,仅信息素更新树的增益（百分点）,-0.005214030389903547,-0.035709440379320175,0.025161088034661123,8
不使用 GP 产生的状态,1000,1,原生来源下 GP 增益（百分点）,-0.0015935550949721902,-0.004780665284916571,0.0,8
不使用 GP 产生的状态,1000,1,仅本轮最优来源下 GP 增益（百分点）,-0.0015935550949721902,-0.004780665284916571,0.0,8
不使用 GP 产生的状态,1000,1,移除历史来源后 GP 增益变化（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,1000,1,仅构造决策树的增益（百分点）,-0.0015935550949721902,-0.004780665284916571,0.0,8
不使用 GP 产生的状态,1000,1,仅信息素更新树的增益（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,1000,25,原生来源下 GP 增益（百分点）,-0.00485222958329676,-0.01053157509698944,-0.000710285532474887,8
不使用 GP 产生的状态,1000,25,仅本轮最优来源下 GP 增益（百分点）,-0.0035527831949874436,-0.009152844435723432,-4.262484830591045e-05,8
不使用 GP 产生的状态,1000,25,移除历史来源后 GP 增益变化（百分点）,0.0012994463883093173,1.578061613481828e-07,0.0034553685241658612,8
不使用 GP 产生的状态,1000,25,仅构造决策树的增益（百分点）,-0.0041335888713445795,-0.009820662926053755,-0.0005279047250512154,8
不使用 GP 产生的状态,1000,25,仅信息素更新树的增益（百分点）,-0.0010779610679282718,-0.0032338832037848153,0.0,8
不使用 GP 产生的状态,1000,100,原生来源下 GP 增益（百分点）,-0.0010894800123562032,-0.008742415770835208,0.006844894929029325,8
不使用 GP 产生的状态,1000,100,仅本轮最优来源下 GP 增益（百分点）,-0.007786620405569877,-0.01612561590373497,-0.000831796276755238,8
不使用 GP 产生的状态,1000,100,移除历史来源后 GP 增益变化（百分点）,-0.006697140393213674,-0.019554642407055043,9.468369687058874e-07,8
不使用 GP 产生的状态,1000,100,仅构造决策树的增益（百分点）,-0.0028806846271267612,-0.009376669003735263,0.0022011380504946246,8
不使用 GP 产生的状态,1000,100,仅信息素更新树的增益（百分点）,0.0026868069221558377,0.0,0.008060420766467513,8
不使用 GP 产生的状态,1000,500,原生来源下 GP 增益（百分点）,-0.004031410007010461,-0.024974813069951234,0.016716145904434168,8
不使用 GP 产生的状态,1000,500,仅本轮最优来源下 GP 增益（百分点）,0.0007734631639132955,-0.012182439439116665,0.012956141060977793,8
不使用 GP 产生的状态,1000,500,移除历史来源后 GP 增益变化（百分点）,0.004804873170923757,-0.02003437309041795,0.032070118985062596,8
不使用 GP 产生的状态,1000,500,仅构造决策树的增益（百分点）,-0.0005428512791909468,-0.007629650742427583,0.007110098721440885,8
不使用 GP 产生的状态,1000,500,仅信息素更新树的增益（百分点）,0.0012013539085882958,-0.021563286037254742,0.02512266337838864,8
不使用 GP 产生的状态,2500,1,原生来源下 GP 增益（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,2500,1,仅本轮最优来源下 GP 增益（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,2500,1,移除历史来源后 GP 增益变化（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,2500,1,仅构造决策树的增益（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,2500,1,仅信息素更新树的增益（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,2500,25,原生来源下 GP 增益（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,2500,25,仅本轮最优来源下 GP 增益（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,2500,25,移除历史来源后 GP 增益变化（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,2500,25,仅构造决策树的增益（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,2500,25,仅信息素更新树的增益（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,2500,100,原生来源下 GP 增益（百分点）,0.00019864187206046027,0.0,0.0005959256161813808,8
不使用 GP 产生的状态,2500,100,仅本轮最优来源下 GP 增益（百分点）,5.714137185055781e-05,0.0,0.00017142411555167344,8
不使用 GP 产生的状态,2500,100,移除历史来源后 GP 增益变化（百分点）,-0.00014150050020990247,-0.0004245015006297074,0.0,8
不使用 GP 产生的状态,2500,100,仅构造决策树的增益（百分点）,0.00019864187206046027,0.0,0.0005959256161813808,8
不使用 GP 产生的状态,2500,100,仅信息素更新树的增益（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,2500,500,原生来源下 GP 增益（百分点）,-0.0003046800623561648,-0.010420663745147298,0.009229897028928093,8
不使用 GP 产生的状态,2500,500,仅本轮最优来源下 GP 增益（百分点）,-0.0002169449644148471,-0.0017383336877797707,0.0014143709518567769,8
不使用 GP 产生的状态,2500,500,移除历史来源后 GP 增益变化（百分点）,8.773509794131763e-05,-0.008150469843696951,0.00922761046129603,8
不使用 GP 产生的状态,2500,500,仅构造决策树的增益（百分点）,-0.0023637831781763026,-0.008536705804391512,0.003059988917824182,8
