state_owner,continuation_iterations,instance,原生来源下 GP 增益（百分点）,仅本轮最优来源下 GP 增益（百分点）,移除历史来源后 GP 增益变化（百分点）,仅构造决策树的增益（百分点）,仅信息素更新树的增益（百分点）
各 GP 表达式自身产生的状态,25,4,0.06065539101809896,0.0771260012853091,0.016470610267210133,0.03276763574511068,0.010979457096378294
各 GP 表达式自身产生的状态,25,5,0.13829911072075618,0.17311013398232913,0.03481102326157294,0.03556696556439679,0.1126802674578135
各 GP 表达式自身产生的状态,25,6,0.08556807309515879,0.07901994889594693,-0.006548124199211868,0.012384258738424777,0.04027768029729183
各 GP 表达式自身产生的状态,25,7,0.17455985235630453,0.11630610747014243,-0.0582537448861621,0.03085781659741374,0.12621780552944034
各 GP 表达式自身产生的状态,100,0,0.19394103428238177,0.3095295493531713,0.11558851507078953,0.02389936953990574,0.18721433033810106
各 GP 表达式自身产生的状态,100,1,0.11966188729333688,0.2108757422582266,0.09121385496488969,0.04632031653609333,0.094733773997038
各 GP 表达式自身产生的状态,100,2,0.2302169300566218,0.23229392668509644,0.0020769966284746363,0.08333555192530506,0.19232803217965527
各 GP 表达式自身产生的状态,100,3,0.176676028381099,0.3138707113448509,0.13719468296375195,0.05068020540320028,0.13446802615581038
各 GP 表达式自身产生的状态,100,4,0.18654074593613515,0.26857862690977635,0.08203788097364119,0.05302796140613961,0.18247311954125245
各 GP 表达式自身产生的状态,100,5,0.22447435536213156,0.30553942132490036,0.08106506596276891,0.0555307244611334,0.20615750965869617
各 GP 表达式自身产生的状态,100,6,0.22599402270725596,0.29252809351361103,0.066534070806355,0.04236938162001843,0.19189113543064115
各 GP 表达式自身产生的状态,100,7,0.20814179888164475,0.19365235296282574,-0.014489445918818988,0.060914393279005635,0.16780035565747575
各 GP 表达式自身产生的状态,500,0,-0.006722514567827189,0.12025039253920067,0.12697290710702785,-0.006732530891706145,0.006928071902663942
各 GP 表达式自身产生的状态,500,1,-0.021795109213781402,0.2833480404018943,0.3051431496156757,0.001012072413948324,0.007422946171070849
各 GP 表达式自身产生的状态,500,2,-0.0009298584213357908,0.04305683452193896,0.04398669294327475,0.006056309156956376,0.00015533518252292607
各 GP 表达式自身产生的状态,500,3,0.018931103557827143,0.36426441409404897,0.3453333105362218,-0.002627568230120883,0.013102068719265895
各 GP 表达式自身产生的状态,500,4,0.02998891068590912,-0.016145376568399428,-0.04613428725430855,-0.005168177716431122,0.030239145987149746
各 GP 表达式自身产生的状态,500,5,0.00419215677373924,0.4476533087271644,0.4434611519534253,-0.005802751856195017,0.013996914290977155
各 GP 表达式自身产生的状态,500,6,-0.010330177243979945,0.2149501879184291,0.2252803651624091,-0.005406902802549572,-0.00966374862793298
各 GP 表达式自身产生的状态,500,7,0.0009003374188245429,0.48682571405903313,0.48592537664020863,0.0017720333847927575,0.008360214795152296
