state_owner,snapshot_iteration,continuation_iterations,metric,mean,point_low,point_high,instances
不使用 GP 产生的状态,100,25,pre_symmetric_difference,167.203125,147.68478732638886,183.4887152777778,8
不使用 GP 产生的状态,100,25,post_symmetric_difference,182.69618055555554,162.99377170138888,198.57300347222224,8
不使用 GP 产生的状态,100,25,defined_survival_ratio,1.1088336561408902,1.083166680977734,1.134312409555624,8
不使用 GP 产生的状态,100,25,undefined_ants,0.0,0.0,0.0,8
不使用 GP 产生的状态,100,100,pre_symmetric_difference,112.42447916666667,90.96976996527778,132.27925347222222,8
不使用 GP 产生的状态,100,100,post_symmetric_difference,121.46006944444446,99.18836805555557,142.65277777777777,8
不使用 GP 产生的状态,100,100,defined_survival_ratio,1.1048190670737978,1.0696556781614002,1.1454604479987858,8
不使用 GP 产生的状态,100,100,undefined_ants,0.05555555555555555,0.0,0.16666666666666666,8
不使用 GP 产生的状态,100,500,pre_symmetric_difference,109.63020833333334,92.86371527777779,125.87526041666668,8
不使用 GP 产生的状态,100,500,post_symmetric_difference,113.2578125,97.3490234375,129.02697482638888,8
不使用 GP 产生的状态,100,500,defined_survival_ratio,1.0446324097574664,1.021416182397592,1.0792204907692768,8
不使用 GP 产生的状态,100,500,undefined_ants,1.3333333333333333,0.4444444444444444,2.6666666666666665,8
不使用 GP 产生的状态,250,1,pre_symmetric_difference,4.216145833333334,3.7769097222222223,4.629340277777778,8
不使用 GP 产生的状态,250,1,post_symmetric_difference,7.780381944444444,6.661458333333334,8.749131944444445,8
不使用 GP 产生的状态,250,1,defined_survival_ratio,1.8500607336604888,1.62667821616802,2.0449002384694817,8
不使用 GP 产生的状态,250,1,undefined_ants,24.361111111111114,24.069444444444443,24.65277777777778,8
不使用 GP 产生的状态,250,25,pre_symmetric_difference,7.974826388888889,5.470486111111111,10.946180555555557,8
不使用 GP 产生的状态,250,25,post_symmetric_difference,11.635416666666666,7.839409722222221,15.753472222222221,8
不使用 GP 产生的状态,250,25,defined_survival_ratio,1.6469190085018919,1.3490386097725258,1.9778637383333277,8
不使用 GP 产生的状态,250,25,undefined_ants,19.388888888888886,15.61111111111111,22.653124999999996,8
不使用 GP 产生的状态,250,100,pre_symmetric_difference,11.519965277777777,9.597894965277778,14.26388888888889,8
不使用 GP 产生的状态,250,100,post_symmetric_difference,15.34201388888889,12.618836805555555,19.39670138888889,8
不使用 GP 产生的状态,250,100,defined_survival_ratio,1.379679448471979,1.1766239320250906,1.5658153171207339,8
不使用 GP 产生的状态,250,100,undefined_ants,17.069444444444443,14.402777777777777,19.40277777777778,8
不使用 GP 产生的状态,250,500,pre_symmetric_difference,134.51909722222223,106.63910590277779,162.84765624999994,8
不使用 GP 产生的状态,250,500,post_symmetric_difference,136.08940972222223,108.27743055555555,164.23450520833333,8
不使用 GP 产生的状态,250,500,defined_survival_ratio,1.1138105170934116,0.9720420066462488,1.3220287583247587,8
不使用 GP 产生的状态,250,500,undefined_ants,6.277777777777778,3.513888888888889,9.027777777777779,8
不使用 GP 产生的状态,500,1,pre_symmetric_difference,22.745659722222218,2.736111111111111,62.436631944444436,8
不使用 GP 产生的状态,500,1,post_symmetric_difference,14.6640625,4.34375,34.08005642361111,8
不使用 GP 产生的状态,500,1,defined_survival_ratio,1.5608141536043703,1.265822237699174,1.8434427729493261,8
不使用 GP 产生的状态,500,1,undefined_ants,24.930555555555557,24.111111111111114,25.555555555555557,8
不使用 GP 产生的状态,500,25,pre_symmetric_difference,30.3125,3.1119574652777775,84.21180555555556,8
不使用 GP 产生的状态,500,25,post_symmetric_difference,30.783854166666664,5.175347222222222,80.86979166666667,8
不使用 GP 产生的状态,500,25,defined_survival_ratio,1.6434231387031932,1.374844568845901,1.9645059160712464,8
不使用 GP 产生的状态,500,25,undefined_ants,22.11111111111111,16.875,25.069444444444443,8
不使用 GP 产生的状态,500,100,pre_symmetric_difference,21.052951388888893,4.013020833333334,52.46267361111112,8
不使用 GP 产生的状态,500,100,post_symmetric_difference,23.288194444444443,5.981705729166666,54.51736111111111,8
不使用 GP 产生的状态,500,100,defined_survival_ratio,1.6378530891200556,1.1049742210443196,2.4865398640093543,8
不使用 GP 产生的状态,500,100,undefined_ants,21.09722222222222,16.76388888888889,24.22222222222222,8
