replicate,champion,instance,state_owner,snapshot_iteration,historical_source,update_rule,affected_probe_count,unaffected_probe_count,affected_probability_tv,unaffected_probability_tv
0,81002,5,不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,4,12,0.07973508917438532,1.9950426211270248e-09
0,81002,6,不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,5,11,0.03705241235652769,0.0
0,81002,7,不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,6,10,0.04545134327583344,0.0
0,81002,0,不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,10,6,0.10639852908951986,1.8084601189646963e-09
0,81002,1,不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,3,13,0.11549100739484085,3.2469858120176733e-09
0,81002,2,不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,3,13,0.09153631913453375,1.602094843252846e-09
0,81002,3,不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,2,14,0.05615586113608867,1.3806151119236203e-10
0,81002,4,不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,4,12,0.15634140048147346,0.0
0,81002,5,不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,4,12,0.07973508917438532,1.9950426211270248e-09
0,81002,6,不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,5,11,0.03705241235652769,0.0
0,81002,7,不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,6,10,0.04545134327583344,0.0
0,81002,0,不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,10,6,0.07629439704150325,0.0004965118899503117
0,81002,1,不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,3,13,0.10162496576741613,0.001293846693472053
0,81002,2,不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,3,13,0.07800901239003645,0.00042385021137558373
0,81002,3,不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,2,14,0.058347250310475544,2.7189141355991104e-05
0,81002,4,不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,4,12,0.13641897860729302,4.8412740473633286e-05
0,81002,5,不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,4,12,0.07481359330725043,0.00019361887874825396
0,81002,6,不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,5,11,0.027408672668472654,0.0013462742279363466
0,81002,7,不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,6,10,0.04290009226022651,0.00022622658921510596
0,81002,0,不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,10,6,0.07629439704150325,0.0004965118899503117
0,81002,1,不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,3,13,0.10162496576741613,0.001293846693472053
0,81002,2,不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,3,13,0.07800901239003645,0.00042385021137558373
0,81002,3,不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,2,14,0.058347250310475544,2.7189141355991104e-05
0,81002,4,不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,4,12,0.13641897860729302,4.8412740473633286e-05
0,81002,5,不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,4,12,0.07481359330725043,0.00019361887874825396
0,81002,6,不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,5,11,0.027408672668472654,0.0013462742279363466
0,81002,7,不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,6,10,0.04290009226022651,0.00022622658921510596
0,81003,0,不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,10,6,0.09762325409780892,1.742934979304923e-09
0,81003,1,不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,3,13,0.10114625204445706,3.4650649458505324e-09
0,81003,2,不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,3,13,0.0975247911727987,1.5256914466744467e-09
0,81003,3,不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,2,14,0.05347386948132382,2.47653955597317e-10
0,81003,4,不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,4,12,0.14991747931399516,0.0
0,81003,5,不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,4,12,0.08344883872941902,2.0639730731099738e-09
0,81003,6,不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,5,11,0.047317801939148176,0.0
0,81003,7,不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,6,10,0.05162190335348372,0.0
0,81003,0,不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,10,6,0.09762325409780892,1.742934979304923e-09
0,81003,1,不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,3,13,0.10114625204445706,3.4650649458505324e-09
0,81003,2,不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,3,13,0.0975247911727987,1.5256914466744467e-09
0,81003,3,不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,2,14,0.05347386948132382,2.47653955597317e-10
0,81003,4,不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,4,12,0.14991747931399516,0.0
0,81003,5,不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,4,12,0.08344883872941902,2.0639730731099738e-09
0,81003,6,不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,5,11,0.047317801939148176,0.0
0,81003,7,不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,6,10,0.05162190335348372,0.0
0,81003,0,不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,10,6,0.06714465015522292,0.00010601996484016604
0,81003,1,不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,3,13,0.0903356344593005,0.00030458270228166047
0,81003,2,不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,3,13,0.08190941739647871,8.48275757422884e-05
0,81003,3,不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,2,14,0.04811587998839307,7.912696658416366e-05
