state_owner,snapshot_iteration,source,phase,metric,mean,point_low,point_high,instances
GP 表达式自身产生的状态,250,历史重启阶段最优路径,沉积后,deposit_l1_over_budget,0.003152438136006336,0.002190637458140734,0.004305898939288609,8
GP 表达式自身产生的状态,250,历史重启阶段最优路径,沉积后,source_edge_tau_l1_over_two_budget,0.0031524376839840197,0.0021731524482969285,0.0043058977943528825,8
GP 表达式自身产生的状态,250,历史重启阶段最优路径,沉积后,global_tau_relative_l1,2.7947144973115155e-06,1.9560654009640764e-06,3.814997533843792e-06,8
GP 表达式自身产生的状态,250,历史重启阶段最优路径,蒸发和下界保护后,deposit_l1_over_budget,0.003152438136006336,0.002152889794052477,0.004320189361562068,8
GP 表达式自身产生的状态,250,历史重启阶段最优路径,蒸发和下界保护后,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,250,历史重启阶段最优路径,蒸发和下界保护后,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,250,历史重启阶段最优路径,重启和可选上界处理后,deposit_l1_over_budget,0.003152438136006336,0.0021833230180193864,0.004307962388374028,8
GP 表达式自身产生的状态,250,历史重启阶段最优路径,重启和可选上界处理后,source_edge_tau_l1_over_two_budget,0.0031524376839840197,0.0021854490695394704,0.004316380968968405,8
GP 表达式自身产生的状态,250,历史重启阶段最优路径,重启和可选上界处理后,global_tau_relative_l1,2.7947144973115155e-06,1.93054537801187e-06,3.824462016277537e-06,8
GP 表达式自身产生的状态,250,本轮最优路径,更新前,deposit_l1_over_budget,0.0030286554605050238,0.0021684689511822968,0.004024786368703793,8
GP 表达式自身产生的状态,250,本轮最优路径,更新前,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,250,本轮最优路径,更新前,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,250,本轮最优路径,沉积后,deposit_l1_over_budget,0.0030286554605050238,0.0021666921571881713,0.003986795622522333,8
GP 表达式自身产生的状态,250,本轮最优路径,沉积后,source_edge_tau_l1_over_two_budget,0.0030286528477926015,0.002150615641806237,0.003988317315888408,8
GP 表达式自身产生的状态,250,本轮最优路径,沉积后,global_tau_relative_l1,2.6855152356641503e-06,1.9161944035512597e-06,3.553202778578487e-06,8
GP 表达式自身产生的状态,250,本轮最优路径,蒸发和下界保护后,deposit_l1_over_budget,0.0030286554605050238,0.002173355709194061,0.004024391194381145,8
GP 表达式自身产生的状态,250,本轮最优路径,蒸发和下界保护后,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,250,本轮最优路径,蒸发和下界保护后,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,250,本轮最优路径,重启和可选上界处理后,deposit_l1_over_budget,0.0030286554605050238,0.002157781258029118,0.0040355518984677595,8
GP 表达式自身产生的状态,250,本轮最优路径,重启和可选上界处理后,source_edge_tau_l1_over_two_budget,0.0030286528477926015,0.002159985746344615,0.004029295748680299,8
GP 表达式自身产生的状态,250,本轮最优路径,重启和可选上界处理后,global_tau_relative_l1,2.6855152356641503e-06,1.9213428257992234e-06,3.5368196457858642e-06,8
GP 表达式自身产生的状态,500,历史全局最优路径,更新前,deposit_l1_over_budget,0.0032544768470773506,0.0015214206297427563,0.006485124650423075,8
GP 表达式自身产生的状态,500,历史全局最优路径,更新前,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,500,历史全局最优路径,更新前,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,500,历史全局最优路径,沉积后,deposit_l1_over_budget,0.0032544768470773506,0.0015214206297427563,0.006484821536332545,8
GP 表达式自身产生的状态,500,历史全局最优路径,沉积后,source_edge_tau_l1_over_two_budget,0.0032544701651398686,0.0015224682449767237,0.00648446750990784,8
GP 表达式自身产生的状态,500,历史全局最优路径,沉积后,global_tau_relative_l1,2.7939433765898067e-06,1.3476471406208708e-06,5.479231191276243e-06,8
GP 表达式自身产生的状态,500,历史全局最优路径,蒸发和下界保护后,deposit_l1_over_budget,0.0032544768470773506,0.0015198306669134342,0.006481196893908414,8
GP 表达式自身产生的状态,500,历史全局最优路径,蒸发和下界保护后,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,500,历史全局最优路径,蒸发和下界保护后,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,500,历史全局最优路径,重启和可选上界处理后,deposit_l1_over_budget,0.0032544768470773506,0.0015155921952854732,0.006489364025700826,8
GP 表达式自身产生的状态,500,历史全局最优路径,重启和可选上界处理后,source_edge_tau_l1_over_two_budget,0.002869505032186689,0.0011377509166081608,0.006092375682649473,8
GP 表达式自身产生的状态,500,历史全局最优路径,重启和可选上界处理后,global_tau_relative_l1,2.4521691157340518e-06,1.0064966911155317e-06,5.10799135550542e-06,8
GP 表达式自身产生的状态,500,历史重启阶段最优路径,更新前,deposit_l1_over_budget,0.001867058234038448,0.0015192244155618675,0.0023259667423344964,8
GP 表达式自身产生的状态,500,历史重启阶段最优路径,更新前,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,500,历史重启阶段最优路径,更新前,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,500,历史重启阶段最优路径,沉积后,deposit_l1_over_budget,0.001867058234038448,0.0015237669049301486,0.0023189334769394415,8
GP 表达式自身产生的状态,500,历史重启阶段最优路径,沉积后,source_edge_tau_l1_over_two_budget,0.0018670509197632116,0.0015198219838790266,0.002333136172450548,8
GP 表达式自身产生的状态,500,历史重启阶段最优路径,沉积后,global_tau_relative_l1,1.6420529033762388e-06,1.3453027027249369e-06,2.020945568283827e-06,8
GP 表达式自身产生的状态,500,历史重启阶段最优路径,蒸发和下界保护后,deposit_l1_over_budget,0.001867058234038448,0.0015201228937774356,0.0023331641418491574,8
GP 表达式自身产生的状态,500,历史重启阶段最优路径,蒸发和下界保护后,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,500,历史重启阶段最优路径,蒸发和下界保护后,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,500,历史重启阶段最优路径,重启和可选上界处理后,deposit_l1_over_budget,0.001867058234038448,0.0015190787713612332,0.0023331641418491574,8
GP 表达式自身产生的状态,500,历史重启阶段最优路径,重启和可选上界处理后,source_edge_tau_l1_over_two_budget,0.0014820857868100327,0.0011379757469218944,0.0019037186284871568,8
GP 表达式自身产生的状态,500,历史重启阶段最优路径,重启和可选上界处理后,global_tau_relative_l1,1.3002786425204834e-06,1.0062039844091896e-06,1.6561893326044287e-06,8
GP 表达式自身产生的状态,500,本轮最优路径,更新前,deposit_l1_over_budget,0.0018670287913097557,0.0015229034461081052,0.002333825074281081,8
