cohort,condition,model,iteration,mean_gap,point_low,point_high
P1,C111,Baseline,1575,0.19803287166909023,0.17022583304338404,0.22579068630610655
P1,C111,Baseline,1600,0.19793436660686956,0.17006232618344036,0.2257577923105203
P1,C111,Baseline,1625,0.19592540793996965,0.16851034405360898,0.22302197635247917
P1,C111,Baseline,1650,0.19278659257837039,0.16507848810279607,0.220361765110509
P1,C111,Baseline,1675,0.19128919149226786,0.16397887311376383,0.21892824219954923
P1,C111,Baseline,1700,0.18818071304652137,0.16044864999136502,0.21624979092316196
P1,C111,Baseline,1725,0.1841107559035749,0.15663488977753734,0.21215389221631864
P1,C111,Baseline,1750,0.1831192037433494,0.1556520906101674,0.21101304607568744
P1,C111,Baseline,1775,0.1804809585493452,0.15318213687238535,0.20846590200702486
P1,C111,Baseline,1800,0.1780840702194362,0.15117235926548386,0.20542862733803902
P1,C111,Baseline,1825,0.1772316854311614,0.15060035869258598,0.20440874166587295
P1,C111,Baseline,1850,0.17553534581367664,0.14870250794801915,0.20276650668121388
P1,C111,Baseline,1875,0.1749866329085028,0.14823832170823575,0.20229725338865795
P1,C111,Baseline,1900,0.17339401746394262,0.14674418705401954,0.20049915626449166
P1,C111,Baseline,1925,0.17307684609412366,0.1465112394002477,0.20014741428649005
