task,field,count,failed,used_failed,max_abs_error
numeric-check-a4000-mmas-centered_fp32,TR.MutualRank,147473,0,0,7.786081135385814e-08
numeric-check-a4000-mmas-centered_fp32,TR.TurnCos,147473,0,0,2.6513645079440096e-07
numeric-check-a4000-mmas-centered_fp64,PH.EdgeEta,320000,0,0,2.980203694935568e-08
numeric-check-a4000-mmas-centered_fp64,PH.EdgeTau,320000,0,0,4.440891901285406e-08
numeric-check-a4000-mmas-centered_fp64,PH.NNRank,320000,0,0,6.271653385514497e-08
numeric-check-a4000-mmas-centered_fp64,PH.ColonyFreq,320000,0,0,0.0
numeric-check-a4000-mmas-centered_fp64,PH.SourceQuality,320000,0,0,2.9793095324137653e-08
numeric-check-a4000-mmas-centered_fp64,PH.ACOProg,320000,0,0,2.9343274809967568e-08
numeric-check-a4000-mmas-centered_fp64,PH.Stagnation,320000,0,0,2.975463864185457e-08
numeric-check-a4000-mmas-centered_fp64,PH.LSGain,320000,0,0,0.0
numeric-check-a4000-mmas-centered_fp64,PH.Origin,320000,0,0,0.0
numeric-check-a4000-mmas-centered_fp64,PH.TauHeadroom,320000,0,0,1.5012721021889774e-07
numeric-check-a4000-mmas-centered_fp64,PH.PreFreq,320000,0,0,0.0
numeric-check-a4000-mmas-centered_fp64,PH.PostFreq,320000,0,0,0.0
numeric-check-a4000-mmas-centered_fp64,TR.RTau,147518,0,0,1.7763565238559256e-07
numeric-check-a4000-mmas-centered_fp64,TR.REta,147518,0,0,2.9802028178593787e-08
numeric-check-a4000-mmas-centered_fp64,TR.BaseConf,147518,0,0,7.7312032832344e-06
numeric-check-a4000-mmas-centered_fp64,TR.DistRank,147518,0,0,1.8120769507135037e-07
numeric-check-a4000-mmas-centered_fp64,TR.Entropy,147518,0,0,5.208477329432526e-07
numeric-check-a4000-mmas-centered_fp64,TR.ConstructProg,147518,0,0,2.9025909231705782e-08
numeric-check-a4000-mmas-centered_fp64,TR.ACOProg,147518,0,0,2.9343274809967568e-08
numeric-check-a4000-mmas-centered_fp64,TR.Stagnation,147518,0,0,0.0
numeric-check-a4000-mmas-centered_fp64,TR.Tau,147518,0,0,0.0
numeric-check-a4000-mmas-centered_fp64,TR.Distance,147518,0,0,0.0
numeric-check-a4000-mmas-centered_fp64,TR.MeanTau,147518,0,0,2.086162567138672e-07
numeric-check-a4000-mmas-centered_fp64,TR.MeanDistance,147518,0,0,1.025199890536399e-07
numeric-check-a4000-mmas-centered_fp64,TR.Size,147518,0,0,0.0
numeric-check-a4000-mmas-centered_fp64,TR.FeasibleCount,147518,0,0,0.0
numeric-check-a4000-mmas-centered_fp64,TR.MutualRank,147518,0,0,7.786081135385814e-08
numeric-check-a4000-mmas-centered_fp64,TR.TurnCos,147518,0,0,2.6513645079440096e-07
numeric-check-a4000-mmas-legacy,PH.EdgeEta,320000,0,0,8.780007474173956e-06
numeric-check-a4000-mmas-legacy,PH.EdgeTau,320000,68856,20849,1.000000044408919
numeric-check-a4000-mmas-legacy,PH.NNRank,320000,0,0,6.271653385514497e-08
numeric-check-a4000-mmas-legacy,PH.ColonyFreq,320000,0,0,0.0
numeric-check-a4000-mmas-legacy,PH.SourceQuality,320000,1000,0,0.000162759712312055
numeric-check-a4000-mmas-legacy,PH.ACOProg,320000,0,0,2.9343274809967568e-08
numeric-check-a4000-mmas-legacy,PH.Stagnation,320000,0,0,2.975463864185457e-08
numeric-check-a4000-mmas-legacy,PH.LSGain,320000,0,0,0.0
numeric-check-a4000-mmas-legacy,PH.Origin,320000,0,0,0.0
numeric-check-a4000-mmas-legacy,PH.TauHeadroom,320000,0,0,1.5012721021889774e-07
numeric-check-a4000-mmas-legacy,PH.PreFreq,320000,0,0,0.0
numeric-check-a4000-mmas-legacy,PH.PostFreq,320000,0,0,0.0
numeric-check-a4000-mmas-legacy,TR.RTau,147974,44333,0,1.0000001776356524
numeric-check-a4000-mmas-legacy,TR.REta,147974,90,0,0.019752272432753792
numeric-check-a4000-mmas-legacy,TR.BaseConf,147974,0,0,7.670544598603612e-06
numeric-check-a4000-mmas-legacy,TR.DistRank,147974,0,0,1.8120769507135037e-07
numeric-check-a4000-mmas-legacy,TR.Entropy,147974,0,0,5.208477329432526e-07
numeric-check-a4000-mmas-legacy,TR.ConstructProg,147974,0,0,2.9025909231705782e-08
numeric-check-a4000-mmas-legacy,TR.ACOProg,147974,0,0,2.9343274809967568e-08
numeric-check-a4000-mmas-legacy,TR.Stagnation,147974,0,0,0.0
numeric-check-a4000-mmas-legacy,TR.Tau,147974,0,0,0.0
numeric-check-a4000-mmas-legacy,TR.Distance,147974,0,0,0.0
numeric-check-a4000-mmas-legacy,TR.MeanTau,147974,0,0,2.086162567138672e-07
numeric-check-a4000-mmas-legacy,TR.MeanDistance,147974,0,0,1.025199890536399e-07
numeric-check-a4000-mmas-legacy,TR.Size,147974,0,0,0.0
numeric-check-a4000-mmas-legacy,TR.FeasibleCount,147974,0,0,0.0
numeric-check-a4000-mmas-legacy,TR.MutualRank,147974,0,0,7.786081135385814e-08
numeric-check-a4000-mmas-legacy,TR.TurnCos,147974,0,0,2.6513645079440096e-07
numeric-check-a5000-as-centered_fp32,PH.EdgeEta,10240000,0,0,8.884632687444771e-06
numeric-check-a5000-as-centered_fp32,PH.EdgeTau,10240000,0,0,1.3142674957278278e-05
numeric-check-a5000-as-centered_fp32,PH.NNRank,10240000,0,0,1.4601941078495884e-07
numeric-check-a5000-as-centered_fp32,PH.ColonyFreq,10240000,0,0,0.0
numeric-check-a5000-as-centered_fp32,PH.SourceQuality,10240000,0,0,7.640234688466307e-06
numeric-check-a5000-as-centered_fp32,PH.ACOProg,10240000,0,0,2.9343274809967568e-08
numeric-check-a5000-as-centered_fp32,PH.Stagnation,10240000,0,0,2.975463864185457e-08
numeric-check-a5000-as-centered_fp32,PH.LSGain,10240000,0,0,0.0
numeric-check-a5000-as-centered_fp32,PH.Origin,10240000,0,0,0.0
numeric-check-a5000-as-centered_fp32,PH.TauHeadroom,10240000,0,0,0.0
numeric-check-a5000-as-centered_fp32,PH.PreFreq,10240000,0,0,0.0
numeric-check-a5000-as-centered_fp32,PH.PostFreq,10240000,0,0,0.0
numeric-check-a5000-as-centered_fp32,TR.RTau,151342,0,0,7.72227123568836e-06
numeric-check-a5000-as-centered_fp32,TR.REta,151342,0,0,7.938555243391932e-06
numeric-check-a5000-as-centered_fp32,TR.BaseConf,151342,0,0,7.731531507682021e-06
numeric-check-a5000-as-centered_fp32,TR.DistRank,151342,0,0,1.8120769507135037e-07
numeric-check-a5000-as-centered_fp32,TR.Entropy,151342,0,0,5.960464477539062e-07
numeric-check-a5000-as-centered_fp32,TR.ConstructProg,151342,0,0,2.9025909231705782e-08
numeric-check-a5000-as-centered_fp32,TR.ACOProg,151342,0,0,2.9343274809967568e-08
numeric-check-a5000-as-centered_fp32,TR.Stagnation,151342,0,0,5.960464477539063e-08
numeric-check-a5000-as-centered_fp32,TR.Tau,151342,0,0,0.0
numeric-check-a5000-as-centered_fp32,TR.Distance,151342,0,0,0.0
numeric-check-a5000-as-centered_fp32,TR.MeanTau,151342,0,0,2.384185791015625e-07
numeric-check-a5000-as-centered_fp32,TR.MeanDistance,151342,0,0,9.608268736194248e-08
numeric-check-a5000-as-centered_fp32,TR.Size,151342,0,0,0.0
numeric-check-a5000-as-centered_fp32,TR.FeasibleCount,151342,0,0,0.0
numeric-check-a5000-as-centered_fp32,TR.MutualRank,151342,0,0,7.86177447587022e-08
numeric-check-a5000-as-centered_fp32,TR.TurnCos,151342,0,0,2.653311690359317e-07
numeric-check-a5000-as-centered_fp64,PH.EdgeEta,10240000,0,0,2.9802321499516893e-08
numeric-check-a5000-as-centered_fp64,PH.EdgeTau,10240000,0,0,8.881783408140393e-08
numeric-check-a5000-as-centered_fp64,PH.NNRank,10240000,0,0,1.4601941078495884e-07
numeric-check-a5000-as-centered_fp64,PH.ColonyFreq,10240000,0,0,0.0
