cohort,variant,condition,mode,model,instance_hash,replicate,gap,auc
P1,mmas,C111,legacy,baseline,1db57b496313961592845a43c601380daba30dd10cd562c88a129d920f6f2c7b,0,0.10317243715813884,0.2547634587643715
P1,mmas,C111,legacy,baseline,1db57b496313961592845a43c601380daba30dd10cd562c88a129d920f6f2c7b,1,0.3149003130510142,0.4734328943023087
P1,mmas,C111,legacy,baseline,1db57b496313961592845a43c601380daba30dd10cd562c88a129d920f6f2c7b,2,-4.440892098500626e-14,0.25002495187132506
P1,mmas,C111,legacy,baseline,1db57b496313961592845a43c601380daba30dd10cd562c88a129d920f6f2c7b,3,-6.661338147750939e-14,0.3658236715263717
P1,mmas,C111,legacy,baseline,1db57b496313961592845a43c601380daba30dd10cd562c88a129d920f6f2c7b,4,0.3109813814775819,0.47842130074955
P1,mmas,C111,legacy,baseline,9ce7717eb794caa081564f37f3fd1a897bddc27abf7412b1bc30a17fd97b5d8f,0,0.06506424422272339,0.15476469073610752
P1,mmas,C111,legacy,baseline,9ce7717eb794caa081564f37f3fd1a897bddc27abf7412b1bc30a17fd97b5d8f,1,0.013367896816940394,0.14516552493070484
P1,mmas,C111,legacy,baseline,9ce7717eb794caa081564f37f3fd1a897bddc27abf7412b1bc30a17fd97b5d8f,2,0.013367896816962599,0.08981131551309457
P1,mmas,C111,legacy,baseline,9ce7717eb794caa081564f37f3fd1a897bddc27abf7412b1bc30a17fd97b5d8f,3,0.013367896816962599,0.11983636974814349
P1,mmas,C111,legacy,baseline,9ce7717eb794caa081564f37f3fd1a897bddc27abf7412b1bc30a17fd97b5d8f,4,0.013367896816962599,0.13619172366200236
P1,mmas,C111,legacy,baseline,f91d3c38ec580efe592856f90345354ac4f77f72fb5ee2ea52486fe67e2902df,0,0.05603568907774914,0.1777891195154032
P1,mmas,C111,legacy,baseline,f91d3c38ec580efe592856f90345354ac4f77f72fb5ee2ea52486fe67e2902df,1,0.05603568907774914,0.18164621350512913
