task,cohort,variant,condition,mode,instances,gpu_model,host,visible_gpu,wall_seconds_last_attempt,full_horizon_timing,diagnostic_bytes
numeric-pair-as-s3-b16--centered_fp64,N1,as,C111,centered_fp64,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-83d1d2fa-a36a-58dc-e461-3d2b3077301c,1389.5404214621522,True,2789354781
numeric-pair-as-s3-b24--legacy,N1,as,C111,legacy,8,NVIDIA RTX A5000,cuda03.sms.vuw.ac.nz,GPU-cc91c3d0-a556-edeb-c53f-b64bf8bbe1f7,1310.7689540721476,True,2797454753
numeric-pair-as-s3-b24--centered_fp32,N1,as,C111,centered_fp32,8,NVIDIA RTX A5000,cuda03.sms.vuw.ac.nz,GPU-cc91c3d0-a556-edeb-c53f-b64bf8bbe1f7,1510.3359077814966,True,2797404883
numeric-pair-as-s3-b24--centered_fp64,N1,as,C111,centered_fp64,8,NVIDIA RTX A5000,cuda03.sms.vuw.ac.nz,GPU-cc91c3d0-a556-edeb-c53f-b64bf8bbe1f7,1320.903586958535,True,2799594805
numeric-pair-as-s4-b00--legacy,N1,as,C111,legacy,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-dc3f37e9-bc9b-dd69-60e8-a77365d836db,1383.7350122197531,True,2777613434
numeric-pair-as-s4-b00--centered_fp32,N1,as,C111,centered_fp32,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-dc3f37e9-bc9b-dd69-60e8-a77365d836db,1593.065836024005,True,2777291255
numeric-pair-as-s4-b00--centered_fp64,N1,as,C111,centered_fp64,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-dc3f37e9-bc9b-dd69-60e8-a77365d836db,1394.5701493518427,True,2773840933
numeric-pair-as-s4-b08--legacy,N1,as,C111,legacy,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,1300.7845749659464,True,2775348384
numeric-pair-as-s4-b08--centered_fp32,N1,as,C111,centered_fp32,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,1478.8330106949434,True,2778559031
numeric-pair-as-s4-b08--centered_fp64,N1,as,C111,centered_fp64,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,1302.8502462743782,True,2778505341
numeric-pair-as-s4-b16--legacy,N1,as,C111,legacy,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-d06b09ac-edfa-36ed-68ed-4c6cc90409fd,1314.9828568943776,True,2802907175
numeric-pair-as-s4-b16--centered_fp32,N1,as,C111,centered_fp32,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-d06b09ac-edfa-36ed-68ed-4c6cc90409fd,1518.167052121833,True,2808385871
