condition,model,sampling,iteration,pre_gap,post_gap,ls_gain_pp,ls_retention,ls_improved_fraction,ph_saturation,ph_raw_std,ph_tanh_std,source_age,source_switch_fraction,source_repeat_duration_end,source_ib_fraction,source_rb_fraction,source_gb_fraction,floor_fraction,restart_count,would_restart_count,ls_moves_per_ant,ls_checks_per_ant
C111,baseline,window,300,5.218901403948037,0.9286082074816193,4.290293196466417,0.9787797968749998,0.8764453124999999,0.0,0.0,0.0,26.1695,0.04075,35.81875,0.0,0.8245000000000001,0.1755,0.8987148232758045,0.0,0.0,15.199625000000001,21026.29765625
C111,baseline,window,325,4.89577980439579,0.8474306865381459,4.0483491178576445,0.980806453125,0.8616328124999999,0.0,0.0,0.0,37.644000000000005,0.025500000000000002,48.35,0.0,0.69175,0.30825,0.8991760656237602,0.0,0.0,13.8688203125,20929.6853125
C111,baseline,window,350,4.75399676738835,0.8173437455408928,3.936653021847458,0.9813950156249998,0.853875,0.0,0.0,0.0,47.88575,0.019749999999999997,57.725,0.0,0.5682499999999999,0.43174999999999997,0.8994725104421377,0.0,0.0,13.411406249999999,20895.91109375
C111,baseline,window,375,4.596310741885136,0.7850446294535585,3.811266112431577,0.9822726875000001,0.8452421874999999,0.0,0.0,0.0,61.67425000000001,0.0095,72.2,0.0,0.46699999999999997,0.533,0.8995932236313819,0.0,0.0,12.8025703125,20853.0125
C111,baseline,window,400,4.5716885275865815,0.7758517433897809,3.7958367841968,0.9822621093749999,0.8438359375,0.0,0.0,0.0,75.0525,0.008499999999999999,87.83125,0.0,0.36724999999999997,0.63275,0.8996868375688791,0.0,0.0,12.796875,20852.37734375
C111,baseline,window,425,4.531381782185099,0.7589388065000656,3.7724429756850326,0.9825852968750001,0.8409453125,0.0,0.0,0.0,90.392,0.008749999999999999,101.64375,0.0,0.25599999999999995,0.744,0.8997246861457825,0.0,0.0,12.593968750000002,20837.4059375
C111,baseline,window,450,4.505777431926542,0.7546037760461284,3.751173655880413,0.9824595468750001,0.8408437500000001,0.0,0.0,0.0,103.67974999999998,0.008499999999999999,115.64375,0.0,0.251,0.749,0.8997135322540999,0.0,0.0,12.6744609375,20842.9859375
C111,baseline,window,475,4.442336384624054,0.7354516942199084,3.706884690404145,0.9829465,0.8366171874999999,0.0,0.0,0.0,119.83425000000003,0.00375,134.24375,0.0,0.22275,0.77725,0.8997764304280281,0.0,0.0,12.386304687500001,20824.401718750003
C111,baseline,window,500,4.423870273900538,0.732993356652136,3.6908769172484015,0.9828982187499999,0.837453125,0.0,0.0,0.0,136.89000000000001,0.00575,149.4625,0.0,0.16675,0.8332499999999999,0.8998749766498804,0.06875,0.06875,12.374031249999998,20822.5984375
C111,baseline,window,525,7.643193701657596,1.2879005858302468,6.355293115827349,0.956626578125,0.8485859375,0.0,0.0,0.0,133.19575,0.073,145.78125,0.06599999999999999,0.1375,0.7965,0.8379656862467527,0.0,0.0,28.5875,21656.1596875
C111,baseline,window,550,5.960778891157309,1.1286619809326086,4.832116910224701,0.9695773750000001,0.8516796875000001,0.0,0.0,0.0,146.94975,0.072,157.66875,0.05500000000000001,0.15850000000000003,0.7865,0.8804921876639128,0.0,0.0,20.005593749999996,21316.989218749997
